legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,creator_characteristic,creator_characteristic_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes,addition_set
AAAP_2667,aaap2667,aaap,child,aaap2727,63,MS430b046f013i063.tif,ms430b046f013i063.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b046f013i063.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b046f013i063_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b046f013i063_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap2667.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap2667.txt,,,Page 63,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_2668,aaap2668,aaap,child,aaap2727,64,MS430b046f013i064.tif,ms430b046f013i064.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b046f013i064.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b046f013i064_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b046f013i064_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap2668.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap2668.txt,,,Page 64,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_2669,aaap2669,aaap,child,aaap2727,65,MS430b046f013i065.tif,ms430b046f013i065.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b046f013i065.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b046f013i065_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b046f013i065_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap2669.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap2669.txt,,,Page 65,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_2670,aaap2670,aaap,child,aaap2727,66,MS430b046f013i066.tif,ms430b046f013i066.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b046f013i066.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b046f013i066_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b046f013i066_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap2670.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap2670.txt,,,Page 66,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_2671,aaap2671,aaap,child,aaap2727,67,MS430b046f013i067.tif,ms430b046f013i067.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b046f013i067.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b046f013i067_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b046f013i067_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap2671.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap2671.txt,,,Page 67,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_2672,aaap2672,aaap,child,aaap2727,68,MS430b046f013i068.tif,ms430b046f013i068.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b046f013i068.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b046f013i068_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b046f013i068_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap2672.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap2672.txt,,,Page 68,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_2673,aaap2673,aaap,child,aaap2727,69,MS430b046f013i069.tif,ms430b046f013i069.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b046f013i069.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b046f013i069_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b046f013i069_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap2673.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap2673.txt,,,Page 69,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_2674,aaap2674,aaap,child,aaap2727,70,MS430b046f013i070.tif,ms430b046f013i070.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b046f013i070.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b046f013i070_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b046f013i070_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap2674.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap2674.txt,,,Page 70,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_2675,aaap2675,aaap,child,aaap2727,71,MS430b046f013i071.tif,ms430b046f013i071.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b046f013i071.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b046f013i071_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b046f013i071_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap2675.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap2675.txt,,,Page 71,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_2676,aaap2676,aaap,child,aaap2727,72,MS430b046f013i072.tif,ms430b046f013i072.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b046f013i072.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b046f013i072_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b046f013i072_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap2676.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap2676.txt,,,Page 72,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
