objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
isudirectories902,isudirectories,child,isudirectories1006,8,isudirectories011_c008.tif,isudirectories011_c008.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c008.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c008_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c008_th.jpg,,,Page 8,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories903,isudirectories,child,isudirectories1006,9,isudirectories011_c009.tif,isudirectories011_c009.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c009.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c009_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c009_th.jpg,,,Page 9,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories904,isudirectories,child,isudirectories1006,10,isudirectories011_c010.tif,isudirectories011_c010.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c010.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c010_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c010_th.jpg,,,Page 10,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories905,isudirectories,child,isudirectories1006,11,isudirectories011_c011.tif,isudirectories011_c011.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c011.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c011_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c011_th.jpg,,,Page 11,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories906,isudirectories,child,isudirectories1006,12,isudirectories011_c012.tif,isudirectories011_c012.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c012.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c012_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c012_th.jpg,,,Page 12,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories907,isudirectories,child,isudirectories1006,13,isudirectories011_c013.tif,isudirectories011_c013.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c013.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c013_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c013_th.jpg,,,Page 13,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories908,isudirectories,child,isudirectories1006,14,isudirectories011_c014.tif,isudirectories011_c014.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c014.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c014_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c014_th.jpg,,,Page 14,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories909,isudirectories,child,isudirectories1006,15,isudirectories011_c015.tif,isudirectories011_c015.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c015.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c015_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c015_th.jpg,,,Page 15,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories910,isudirectories,child,isudirectories1006,16,isudirectories011_c016.tif,isudirectories011_c016.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c016.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c016_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c016_th.jpg,,,Page 16,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories911,isudirectories,child,isudirectories1006,17,isudirectories011_c017.tif,isudirectories011_c017.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c017.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c017_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c017_th.jpg,,,Page 17,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
