legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf_hold,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
AdonijahWelch_2150,adonijahwelch2150,adonijahwelch,child,adonijahwelch2177,56,02-01_Welch_001-001-009-001.tif,02-01_welch_001-001-009-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_001-001-009-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_001-001-009-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_001-001-009-001_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_2151,adonijahwelch2151,adonijahwelch,child,adonijahwelch2177,57,02-01_Welch_001-001-009-002.tif,02-01_welch_001-001-009-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_001-001-009-002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_001-001-009-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_001-001-009-002_th.jpg,,,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_2152,adonijahwelch2152,adonijahwelch,child,adonijahwelch2177,58,02-01_Welch_001-001-010-001.tif,02-01_welch_001-001-010-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_001-001-010-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_001-001-010-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_001-001-010-001_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_2153,adonijahwelch2153,adonijahwelch,child,adonijahwelch2177,59,02-01_Welch_001-001-010-002.tif,02-01_welch_001-001-010-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_001-001-010-002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_001-001-010-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_001-001-010-002_th.jpg,,,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_2154,adonijahwelch2154,adonijahwelch,child,adonijahwelch2177,60,02-01_Welch_001-001-010-003.tif,02-01_welch_001-001-010-003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_001-001-010-003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_001-001-010-003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_001-001-010-003_th.jpg,,,,,Page 3,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_2155,adonijahwelch2155,adonijahwelch,child,adonijahwelch2177,61,02-01_Welch_001-001-010-004.tif,02-01_welch_001-001-010-004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_001-001-010-004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_001-001-010-004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_001-001-010-004_th.jpg,,,,,Page 4,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_2156,adonijahwelch2156,adonijahwelch,child,adonijahwelch2177,62,02-01_Welch_001-001-011-001.tif,02-01_welch_001-001-011-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_001-001-011-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_001-001-011-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_001-001-011-001_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_2157,adonijahwelch2157,adonijahwelch,child,adonijahwelch2177,63,02-01_Welch_001-001-011-002.tif,02-01_welch_001-001-011-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_001-001-011-002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_001-001-011-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_001-001-011-002_th.jpg,,,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_2158,adonijahwelch2158,adonijahwelch,child,adonijahwelch2177,64,02-01_Welch_001-001-012-001.tif,02-01_welch_001-001-012-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_001-001-012-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_001-001-012-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_001-001-012-001_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_2159,adonijahwelch2159,adonijahwelch,child,adonijahwelch2177,65,02-01_Welch_001-001-012-002.tif,02-01_welch_001-001-012-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_001-001-012-002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_001-001-012-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_001-001-012-002_th.jpg,,,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
